Set ID,Section,Condition,Times Sold,Total Qty,Total Lots,Min Price (EUR),Avg Price (EUR),Qty Avg Price (EUR),Max Price (EUR),ScrapeTimestampUTC
10255-1,Current Items for Sale,New,,944,486.0,169.4,328.41,322.18,739.1,2025-10-11T13:32:37.530917
10255-1,Current Items for Sale,Used,,74,70.0,150.93,263.69,260.27,763.83,2025-10-11T13:32:37.530917
10270-1,Last 6 Months Sales,New,112.0,162,,139.44,188.11,185.42,274.46,2025-10-11T13:34:12.489384
10270-1,Last 6 Months Sales,Used,45.0,46,,87.93,147.24,147.62,188.18,2025-10-11T13:34:12.489384
10270-1,Current Items for Sale,New,,1024,413.0,143.24,244.73,233.35,863.57,2025-10-11T13:34:12.489384
10270-1,Current Items for Sale,Used,,60,50.0,85.5,186.29,177.86,400.0,2025-10-11T13:34:12.489384
4520-1,Last 6 Months Sales,New,4.0,6,,15.77,20.26,19.8,26.24,2025-10-11T14:20:37.591561
4520-1,Last 6 Months Sales,Used,6.0,26,,3.49,6.33,4.47,10.17,2025-10-11T14:20:37.591561
4520-1,Current Items for Sale,New,,119,50.0,12.0,21.95,22.25,65.0,2025-10-11T14:20:37.591561
4520-1,Current Items for Sale,Used,,64,25.0,3.0,8.29,8.38,27.66,2025-10-11T14:20:37.591561
4531-1,Last 6 Months Sales,New,9.0,10,,30.36,37.15,36.47,44.55,2025-10-11T14:22:11.029518
4531-1,Last 6 Months Sales,Used,13.0,24,,18.75,24.52,25.08,30.0,2025-10-11T14:22:11.029518
4531-1,Current Items for Sale,New,,108,25.0,25.99,55.04,50.41,97.0,2025-10-11T14:22:11.029518
4531-1,Current Items for Sale,Used,,77,31.0,17.22,32.81,31.41,82.12,2025-10-11T14:22:11.029518
4548-1,Last 6 Months Sales,New,5.0,6,,79.99,96.64,101.93,128.4,2025-10-11T14:23:42.240075
4548-1,Last 6 Months Sales,Used,10.0,11,,19.99,49.35,50.77,65.0,2025-10-11T14:23:42.240075
4548-1,Current Items for Sale,New,,32,19.0,59.99,121.14,134.85,333.33,2025-10-11T14:23:42.240075
4548-1,Current Items for Sale,Used,,23,18.0,46.87,72.6,69.58,172.89,2025-10-11T14:23:42.240075
4519-1,Last 6 Months Sales,New,2.0,3,,29.04,29.99,30.31,30.94,2025-10-11T14:25:40.998699
4519-1,Last 6 Months Sales,Used,1.0,1,,22.14,22.14,22.14,22.14,2025-10-11T14:25:40.998699
4519-1,Current Items for Sale,New,,66,28.0,30.0,44.82,45.48,99.99,2025-10-11T14:25:40.998699
4519-1,Current Items for Sale,Used,,7,7.0,21.61,29.73,29.73,60.0,2025-10-11T14:25:40.998699
10030-1,Last 6 Months Sales,New,4.0,4,,852.66,1121.36,1121.36,1617.38,2025-10-11T14:28:16.563095
10030-1,Last 6 Months Sales,Used,6.0,6,,315.19,367.44,367.44,449.99,2025-10-11T14:28:16.563095
10030-1,Current Items for Sale,New,,15,15.0,864.45,1420.48,1420.48,2499.0,2025-10-11T14:28:16.563095
10030-1,Current Items for Sale,Used,,39,39.0,345.78,736.93,736.93,1200.0,2025-10-11T14:28:16.563095
